nm	F0	F5	F9	F10
1949	136.966	17.9566	4.82398	1.17929
1948	136.269	17.6970	4.80638	1.17249
1947	135.488	17.4625	4.78626	1.15739
1946	134.261	17.3034	4.74098	1.13851
1945	133.424	17.1107	4.68062	1.10905
1944	132.253	16.9181	4.62529	1.08337
1943	131.444	16.7338	4.5599	1.04409
1942	130.384	16.5245	4.48947	1.00406
1941	129.352	16.2648	4.43163	0.96781
1940	128.321	16.0387	4.35869	0.92778
1939	127.317	15.8209	4.28826	0.88397
1938	126.285	15.6032	4.20275	0.84243
1937	125.225	15.3435	4.11472	0.80316
1936	123.998	15.1509	4.03675	0.77295
1935	122.910	14.8662	3.96885	0.74727
1934	121.683	14.6568	3.90094	0.7314
1933	120.623	14.5228	3.84812	0.72461
1932	119.507	14.3050	3.80788	0.72763
1931	118.308	14.1961	3.75003	0.73594
1930	116.942	13.9616	3.69218	0.74878
1929	115.937	13.8360	3.63434	0.76313
1928	114.599	13.6266	3.57146	0.7805
1927	113.427	13.4340	3.50355	0.80844
1926	112.172	13.2748	3.45828	0.81977
1925	111.085	13.032	3.40043	0.83941
1924	110.109	12.8896	3.30737	0.85225
1923	108.909	12.6886	3.22689	0.86282
1922	107.766	12.4792	3.10365	0.87718
1921	106.539	12.3201	3.02317	0.88246
1920	105.367	12.0939	2.92507	0.88397
1919	104.056	11.8594	2.84459	0.87189
1918	102.662	11.6082	2.77668	0.85074
1917	101.351	11.4909	2.72638	0.82053
1916	100.263	11.2815	2.65847	0.77672
1915	98.7857	11.1391	2.64087	0.71403
1914	97.6980	10.9549	2.59308	0.6589
1913	96.6382	10.7622	2.55284	0.59923
1912	95.4668	10.5277	2.50757	0.55995
1911	94.3512	10.3770	2.46984	0.52143
1910	93.0683	10.1173	2.40696	0.49727
1909	92.0643	9.99176	2.38936	0.47914
1908	91.0602	9.84938	2.3466	0.46101
1907	90.1390	9.62325	2.28624	0.44817
1906	88.9406	9.41386	2.25857	0.43156
1905	87.7135	9.27986	2.23593	0.40059
1904	86.6536	9.10398	2.24096	0.3734
1903	85.4544	9.00347	2.24851	0.34545
1902	84.4224	8.81084	2.23593	0.32279
1901	83.1953	8.70196	2.27115	0.3092
1900	82.3865	8.5512	2.2963	0.30542
1899	81.2709	8.44232	2.30636	0.31297
1898	80.2947	8.34182	2.32145	0.32808
1897	79.3744	8.20782	2.31139	0.33865
1896	78.4540	8.02356	2.30887	0.34545
1895	77.8962	7.88118	2.27366	0.35678
1894	77.2548	7.73042	2.24348	0.36584
1893	76.8364	7.66342	2.19569	0.36358
1892	76.1670	7.63829	2.17557	0.35829
1891	75.7766	7.58804	2.15042	0.33261
1890	75.3025	7.45404	2.12527	0.30391
1889	74.7168	7.47916	2.07497	0.28276
1888	74.0753	7.37028	2.05736	0.27445
1887	73.5454	7.38703	2.0297	0.26766
1886	73.0155	7.40378	1.99448	0.27672
1885	72.5972	7.36191	1.95424	0.28125
1884	71.8999	7.22790	1.91903	0.28427
1883	71.1469	7.12740	1.87627	0.28578
