nm	ZC37	ZC90	ZC84	ZC78	ZC88
551	7.2058	15.53836	68.60226	44.9671	23.63516	
550	7.08507	15.34721	67.37946	44.59859	23.30852	
549	6.88135	15.08564	66.25717	44.1547	23.00701	
548	6.6902	14.82658	65.21025	43.84481	22.68875	
547	6.52168	14.55495	63.7697	43.5098	22.21135	
546	6.37329	14.31853	62.25377	43.21666	21.87634	
545	6.20981	14.07456	60.69596	42.83139	21.5497	
544	6.01866	13.81551	59.2219	42.19487	21.14769	
543	5.92057	13.60424	57.8316	41.50809	20.78755	
542	5.76967	13.39045	56.47479	40.84644	20.48604	
541	5.60367	13.10876	54.86673	40.22667	20.10915	
540	5.36222	12.80946	53.20004	39.56502	19.69876	
539	5.29431	12.53029	51.60873	39.05412	19.19624	
538	5.19622	12.22093	49.95042	38.55161	18.65184	
537	5.07801	11.91911	48.14972	37.98208	18.16607	
536	4.93465	11.60724	46.65892	37.34556	17.68868	
535	4.7938	11.36327	44.72422	36.76766	17.21966	
534	4.65547	11.09667	42.99053	35.98876	16.68364	
533	4.51714	10.80995	41.26521	35.1931	16.08899	
532	4.39893	10.49305	39.53989	34.47282	15.5781	
531	4.26311	10.17614	37.63032	33.7693	15.0672	
530	4.13736	9.90199	35.78775	33.07415	14.56468	
529	4.00657	9.60773	34.28019	32.31199	14.13754	
528	3.88333	9.34364	32.50462	31.44933	13.60152	
527	3.78273	9.08458	30.95519	30.62855	13.09063	
526	3.67961	8.78529	29.34713	29.84127	12.57973	
525	3.58152	8.53377	27.84794	29.04562	12.00184	
524	3.44822	8.30238	26.47439	28.31696	11.48257	
523	3.31743	8.06345	25.3856	27.59668	11.02192	
522	3.21934	7.85218	23.64353	26.76753	10.58641	
521	3.1288	7.60821	22.52124	26.01375	10.04201	
520	3.01059	7.37431	21.4157	25.16784	9.64837	
519	2.88986	7.16304	20.33528	24.63182	9.23798	
518	2.77417	6.98195	19.25486	23.66028	8.76059	
517	2.66099	6.82098	18.27495	22.94001	8.24969	
516	2.58805	6.58959	17.43742	22.21973	7.62992	
515	2.48996	6.51665	16.59989	21.69208	7.59642	
514	2.40445	6.31293	15.82098	21.07231	7.23628	
513	2.33654	6.15196	15.11746	20.41066	6.90127	
512	2.23342	6.01866	14.41393	19.79926	6.4825	
511	2.17557	5.92309	13.85278	19.17949	5.97998	
510	2.12527	5.82751	13.24138	18.66022	5.89623	
509	2.05485	5.73948	12.83099	18.06557	5.67009	
508	1.96933	5.66403	12.4876	17.55467	5.36858	
507	1.914	5.6087	12.01021	17.17778	5.25133	
506	1.86873	5.5584	11.65845	16.76739	4.83256	
505	1.77064	5.50558	11.48257	16.34863	4.63993	
504	1.74046	5.4754	11.28993	15.95499	4.43892	
503	1.7304	5.46534	11.1308	15.62835	4.30492	
502	1.72537	5.45276	10.95492	15.27659	4.07878	
501	1.71279	5.46031	10.82929	15.01695	4.0034	
500	1.67758	5.51061	10.81254	14.8662	3.86102	
499	1.7304	5.61121	10.88792	14.79919	3.71027	
498	1.64488	5.70679	11.04705	14.74057	3.68514	
497	1.67758	5.84512	11.20618	14.69869	3.58464	
496	1.63482	5.96081	11.30668	14.68194	3.52601	
495	1.65997	6.11172	11.45744	14.73219	3.50926	
494	1.66752	6.24502	11.76733	14.8997	3.45901	
493	1.69519	6.42359	12.11909	15.05883	3.34175	
492	1.7304	6.60468	12.62998	15.20121	3.31663	
491	1.74297	6.84865	12.88962	15.46084	3.34175	
490	1.75806	7.11274	13.51777	15.83773	3.46738	
