nm	f1	f2	f3	f4
544	59.2219	42.1948	21.1476	13.8155
543	57.8316	41.5080	20.7875	13.6042
542	56.4747	40.8464	20.4860	13.3904
541	54.8667	40.2266	20.1091	13.1087
540	53.2000	39.5650	19.6987	12.8094
539	51.6087	39.0541	19.1962	12.5302
538	49.9504	38.5516	18.6518	12.2209
537	48.1497	37.9820	18.1660	11.9191
536	46.6589	37.3455	17.6886	11.6072
535	44.7242	36.7676	17.2196	11.3632
534	42.9905	35.9887	16.6836	11.0966
533	41.2652	35.1931	16.0889	10.8099
532	39.5398	34.4728	15.5781	10.4930
531	37.6303	33.7693	15.0672	10.1761
530	35.7877	33.0741	14.5646	9.90199
