nm	Orig	F5	F7	F9
443.9	57.89022	7.63839	1.85121	0.24698
443.8	56.60042	7.36928	1.78626	0.24094
443.7	55.27712	7.08759	1.70544	0.23036
443.6	53.9287	6.80841	1.63369	0.21828
443.5	52.61377	6.53929	1.55514	0.21148
443.4	51.23184	6.26514	1.48339	0.19713
443.3	49.71591	6.01363	1.41994	0.1926
443.2	48.20835	5.75709	1.35801	0.20242
443.1	46.67567	5.52067	1.28399	0.17372
443	45.22674	5.26161	1.2281	0.16163
442.9	43.7443	5.02016	1.17825	0.16767
442.8	42.45451	4.78877	1.13067	0.13822
442.7	40.98882	4.58505	1.07175	0.13066
442.6	39.41426	4.35617	1.02191	0.1216
442.5	37.99046	4.16754	0.9713	0.11405
442.4	36.4159	3.94118	0.91617	0.11178
442.3	35.04235	3.75003	0.86934	0.10121
442.2	33.64367	3.55385	0.82553	0.08988
442.1	32.25336	3.37025	0.77946	0.0861
442	30.98031	3.20425	0.74169	0.07855
441.9	29.77427	3.04329	0.69864	0.06647
441.8	28.45097	2.87226	0.64955	0.06269
441.7	27.24492	2.71381	0.61103	0.0574
441.6	26.064	2.5629	0.57024	0.05136
441.5	24.97521	2.39942	0.53474	0.04305
441.4	23.87804	2.28121	0.48187	0.04305
441.3	22.8395	2.15545	0.45242	0.03776
441.2	21.83446	2.03976	0.43731	0.03399
441.1	20.81267	1.89891	0.4003	0.0287
441	19.85789	1.77567	0.38444	0.02417
440.9	18.88635	1.68009	0.36254	0.02266
440.8	17.96506	1.57949	0.33686	0.02039
440.7	17.13591	1.49398	0.31949	0.02492
440.6	16.29838	1.38331	0.29758	0.02266
440.5	15.51947	1.27013	0.26586	0.02341
440.4	14.70706	1.21983	0.24396	0.0219
440.3	14.14592	1.1645	0.25151	0.02719
440.2	13.35026	1.08653	0.24018	0.02341
440.1	12.85612	1.02868	0.22281	0.0219
440	12.20284	0.92556	0.20921	0.01964
439.9	11.54957	0.87274	0.1858	0.01511
439.8	10.94655	0.84759	0.16918	0.01511
439.7	10.39377	0.7822	0.15257	0.01435
